domain;ipFrom;ipTo;count

plausible.io.;192.168.45.130;192.168.45.111;6

r3.o.lencr.org.;192.168.45.130;192.168.45.111;4

incoming.telemetry.mozilla.org.;192.168.45.130;192.168.45.111;3

a1887.dscq.akamai.net.;192.168.45.130;192.168.45.111;3

telemetry-incoming.r53-2.services.mozilla.com.;192.168.45.130;192.168.45.111;2

ledger.bt.co.;192.168.45.130;192.168.45.111;2

implement-dns.wizardzines.com.;192.168.45.130;192.168.45.111;2

implement-dns.v.;192.168.45.130;192.168.45.111;2

firefox.settings.services.mozilla.com.;192.168.45.130;192.168.45.111;2

prod.remote-settings.prod.webservices.mozgcp.net.;192.168.45.130;192.168.45.111;2

catalog.gamepass.com.;192.168.45.130;192.168.45.111;2

coppersurfer.tk.;192.168.45.130;192.168.45.111;1     
