domain;ipFrom;ipTo;count
www.googletagmanager.com.;192.168.45.130;192.168.45.111;9
www.notion.so.;192.168.45.130;192.168.45.111;8
i.ytimg.com.;192.168.45.130;192.168.45.111;8
getpocket.com.;192.168.45.130;192.168.45.111;8
media-maa2-2.cdn.whatsapp.net.;192.168.45.130;192.168.45.111;7
fonts.gstatic.com.;192.168.45.130;192.168.45.111;7
jnn-pa.googleapis.com.;192.168.45.130;192.168.45.111;7
exp.notion.so.;192.168.45.130;192.168.45.111;6
www.google.com.;192.168.45.130;192.168.45.111;6
camo.githubusercontent.com.;192.168.45.130;192.168.45.111;6
incoming.telemetry.mozilla.org.;192.168.45.130;192.168.45.111;6
www.foreignaffairs.com.;192.168.45.130;192.168.45.111;6
cdn.sprig.com.;192.168.45.130;192.168.45.111;5
miro.medium.com.;192.168.45.130;192.168.45.111;5
ocsp.pki.goog.;192.168.45.130;192.168.45.111;5
cdn.branch.io.;192.168.45.130;192.168.45.111;5
rr2---sn-ci5gup-h556.googlevideo.com.;192.168.45.130;192.168.45.111;5
alive.github.com.;192.168.45.130;192.168.45.111;5
towardsdatascience.com.;192.168.45.130;192.168.45.111;4
js.intercomcdn.com.;192.168.45.130;192.168.45.111;4
www.scribbr.com.;192.168.45.130;192.168.45.111;4
web.whatsapp.com.;192.168.45.130;192.168.45.111;4
cdn.amplitude.com.;192.168.45.130;192.168.45.111;4
media-tir3-2.cdn.whatsapp.net.;192.168.45.130;192.168.45.111;4
mmx-ds.cdn.whatsapp.net.;192.168.45.130;192.168.45.111;4
media-tir3-1.cdn.whatsapp.net.;192.168.45.130;192.168.45.111;4
cdn.oaistatic.com.;192.168.45.130;192.168.45.111;4
widget.intercom.io.;192.168.45.130;192.168.45.111;4
crashlogs.whatsapp.net.;192.168.45.130;192.168.45.111;4
glyph.medium.com.;192.168.45.130;192.168.45.111;4
www.youtube.com.;192.168.45.130;192.168.45.111;4
youtube-ui.l.google.com.;192.168.45.130;192.168.45.111;4
yt4.ggpht.com.;192.168.45.130;192.168.45.111;4
cdn-client.medium.com.;192.168.45.130;192.168.45.111;4
static.cloudflareinsights.com.;192.168.45.130;192.168.45.111;4
scapy.readthedocs.io.;192.168.45.130;192.168.45.111;4
api.sprig.com.;192.168.45.130;192.168.45.111;4
rr2.sn-ci5gup-h556.googlevideo.com.;192.168.45.130;192.168.45.111;4
googleads.g.doubleclick.net.;192.168.45.130;192.168.45.111;4
statsigapi.net.;192.168.45.130;192.168.45.111;4
events.statsigapi.net.;192.168.45.130;192.168.45.111;4
media.ethicalads.io.;192.168.45.130;192.168.45.111;4
safebrowsing.googleapis.com.;192.168.45.130;192.168.45.111;4
readthedocs.org.;192.168.45.130;192.168.45.111;4
s.click.aliexpress.com.;192.168.45.130;192.168.45.111;4
www.netflix.com.;192.168.45.130;192.168.45.111;4
e11957.x.akamaiedge.net.;192.168.45.130;192.168.45.111;4
apiproxy-website-nlb-prod-1-bcf28d21f4bbcf2c.elb.us-west-2.amazonaws.com.;192.168.45.130;192.168.45.111;4
libgen.rs.;192.168.45.130;192.168.45.111;4
smashkarts.io.;192.168.45.130;192.168.45.111;4
researchrabbitapp.com.;192.168.45.130;192.168.45.111;4
www.mozilla.org.;192.168.45.130;192.168.45.111;4
www.eater.com.;192.168.45.130;192.168.45.111;4
www.mozorg.moz.works.;192.168.45.130;192.168.45.111;4
vox-chorus.map.fastly.net.;192.168.45.130;192.168.45.111;4
www.theguardian.com.;192.168.45.130;192.168.45.111;4
dualstack.guardian.map.fastly.net.;192.168.45.130;192.168.45.111;4
theweek.com.;192.168.45.130;192.168.45.111;4
raw.githubusercontent.com.;192.168.45.130;192.168.45.111;4
www.dw.com.;192.168.45.130;192.168.45.111;4
e11619.dscf.akamaiedge.net.;192.168.45.130;192.168.45.111;4
app.link.;192.168.45.130;192.168.45.111;4
scroll.in.;192.168.45.130;192.168.45.111;4
www.bbc.com.;192.168.45.130;192.168.45.111;4
bbc.map.fastly.net.;192.168.45.130;192.168.45.111;4
static.doubleclick.net.;192.168.45.130;192.168.45.111;4
researchgate.com.;192.168.45.130;192.168.45.111;4
api.github.com.;192.168.45.130;192.168.45.111;4
www.gstatic.com.;192.168.45.130;192.168.45.111;4
www.google.co.in.;192.168.45.130;192.168.45.111;4
daily.jstor.org.;192.168.45.130;192.168.45.111;4
homegrown.co.in.;192.168.45.130;192.168.45.111;4
msgstore.www.notion.so.;192.168.45.130;192.168.45.111;4
chat.openai.com.;192.168.45.130;192.168.45.111;3
chat.openai.com.cdn.cloudflare.net.;192.168.45.130;192.168.45.111;3
docs.python.org.;192.168.45.130;192.168.45.111;3
dualstack.python.map.fastly.net.;192.168.45.130;192.168.45.111;3
featuregates.org.;192.168.45.130;192.168.45.111;3
api-iam.intercom.io.;192.168.45.130;192.168.45.111;3
github.com.;192.168.45.130;192.168.45.111;3
rr1---sn-q4fl6ndl.googlevideo.com.;192.168.45.130;192.168.45.111;3
telemetry-incoming.r53-2.services.mozilla.com.;192.168.45.130;192.168.45.111;3
contile-images.services.mozilla.com.;192.168.45.130;192.168.45.111;3
rr3---sn-npoldne7.googlevideo.com.;192.168.45.130;192.168.45.111;3
rr5---sn-cvh7knzr.googlevideo.com.;192.168.45.130;192.168.45.111;3
lh3.googleusercontent.com.;192.168.45.130;192.168.45.111;2
tcr9i.chat.openai.com.;192.168.45.130;192.168.45.111;2
origin.arkoselabs.com.cdn.cloudflare.net.;192.168.45.130;192.168.45.111;2
learn.microsoft.com.;192.168.45.130;192.168.45.111;2
js.monitor.azure.com.;192.168.45.130;192.168.45.111;2
e13636.dscb.akamaiedge.net.;192.168.45.130;192.168.45.111;2
part-0030.t-0009.t-msedge.net.;192.168.45.130;192.168.45.111;2
pki-goog.l.google.com.;192.168.45.130;192.168.45.111;2
rr8---sn-ci5gup-h55z.googlevideo.com.;192.168.45.130;192.168.45.111;2
rr8.sn-ci5gup-h55z.googlevideo.com.;192.168.45.130;192.168.45.111;2
wcpstatic.microsoft.com.;192.168.45.130;192.168.45.111;2
rr1.sn-q4fl6ndl.googlevideo.com.;192.168.45.130;192.168.45.111;2
target.microsoft.com.;192.168.45.130;192.168.45.111;2
adobetarget.data.adobedc.net.;192.168.45.130;192.168.45.111;2
img-getpocket.cdn.mozilla.net.;192.168.45.130;192.168.45.111;2
img-prod.pocket.prod.cloudops.mozgcp.net.;192.168.45.130;192.168.45.111;2
rr3.sn-npoldne7.googlevideo.com.;192.168.45.130;192.168.45.111;2
collector.github.com.;192.168.45.130;192.168.45.111;2
glb-db52c2cf8be544.github.com.;192.168.45.130;192.168.45.111;2
live.github.com.;192.168.45.130;192.168.45.111;2
rr5.sn-cvh7knzr.googlevideo.com.;192.168.45.130;192.168.45.111;2
greatergood.berkeley.edu.;192.168.45.130;192.168.45.111;2
ggsc-web-prod-02.ist.berkeley.edu.;192.168.45.130;192.168.45.111;2
yt3.ggpht.com.;192.168.45.130;192.168.45.111;2
photos-ugc.l.googleusercontent.com.;192.168.45.130;192.168.45.111;2
accounts.youtube.com.;192.168.45.130;192.168.45.111;2
www3.l.google.com.;192.168.45.130;192.168.45.111;2
www.vogue.in.;192.168.45.130;192.168.45.111;2
www.nytimes.com.;192.168.45.130;192.168.45.111;2
nytimes.map.fastly.net.;192.168.45.130;192.168.45.111;2
cni-digital.map.fastly.net.;192.168.45.130;192.168.45.111;2
www.newyorker.com.;192.168.45.130;192.168.45.111;2
condenast.map.fastly.net.;192.168.45.130;192.168.45.111;2
www.vulture.com.;192.168.45.130;192.168.45.111;2
www.nature.com.;192.168.45.130;192.168.45.111;2
www.afar.com.;192.168.45.130;192.168.45.111;2
n.sni.global.fastly.net.;192.168.45.130;192.168.45.111;2
springer2.map.fastly.net.;192.168.45.130;192.168.45.111;2
ded09w1nvfd7c.cloudfront.net.;192.168.45.130;192.168.45.111;2
www.aljazeera.com.;192.168.45.130;192.168.45.111;2
www.theatlantic.com.;192.168.45.130;192.168.45.111;2
e9106.dscg.akamaiedge.net.;192.168.45.130;192.168.45.111;2
na-eu.atlanticmedia.map.fastly.net.;192.168.45.130;192.168.45.111;2
www.bonappetit.com.;192.168.45.130;192.168.45.111;2
www.fastcompany.com.;192.168.45.130;192.168.45.111;2
mansueto.map.fastly.net.;192.168.45.130;192.168.45.111;2
support.mozilla.org.;192.168.45.130;192.168.45.111;2
us-west1.prod.sumo.prod.webservices.mozgcp.net.;192.168.45.130;192.168.45.111;2
http-inputs-notion.splunkcloud.com.;192.168.45.130;192.168.45.111;2
notion-0-68ad571cf79e9e82.elb.us-east-1.amazonaws.com.;192.168.45.130;192.168.45.111;2
connect.facebook.net.;192.168.45.130;192.168.45.111;2
aif.notion.so.;192.168.45.130;192.168.45.111;2
scontent.xx.fbcdn.net.;192.168.45.130;192.168.45.111;2
d3hib8ev3xp1ou.cloudfront.net.;192.168.45.130;192.168.45.111;2
assets.customer.io.;192.168.45.130;192.168.45.111;2
d1aadi0iayibtc.cloudfront.net.;192.168.45.130;192.168.45.111;2
ocsp.digicert.com.;192.168.45.130;192.168.45.111;2
s3-us-west-2.amazonaws.com.;192.168.45.130;192.168.45.111;1
googlehosted.l.googleusercontent.com.;192.168.45.130;192.168.45.111;1
fp2e7a.wpc.phicdn.net.;192.168.45.130;192.168.45.111;1
