domain;ipFrom;ipTo;count

www.google.com.;192.168.45.130;192.168.45.111;4

yt4.ggpht.com.;192.168.45.130;192.168.45.111;4

fonts.gstatic.com.;192.168.45.130;192.168.45.111;4

i.ytimg.com.;192.168.45.130;192.168.45.111;4

play.google.com.;192.168.45.130;192.168.45.111;4

rr7---sn-ci5gup-jwce.googlevideo.com.;192.168.45.130;192.168.45.111;4

googleads.g.doubleclick.net.;192.168.45.130;192.168.45.111;4

jnn-pa.googleapis.com.;192.168.45.130;192.168.45.111;4

static.doubleclick.net.;192.168.45.130;192.168.45.111;4

www.gstatic.com.;192.168.45.130;192.168.45.111;4

www.google.co.in.;192.168.45.130;192.168.45.111;4

mobile.events.data.microsoft.com.;192.168.45.130;192.168.45.111;3

suggestqueries-clients6.youtube.com.;192.168.45.130;192.168.45.111;3

rr4---sn-hgn7rnls.googlevideo.com.;192.168.45.130;192.168.45.111;3

safebrowsing.googleapis.com.;192.168.45.130;192.168.45.111;3

www.youtube.com.;192.168.45.130;192.168.45.111;2

yt3.ggpht.com.;192.168.45.130;192.168.45.111;2

youtube-ui.l.google.com.;192.168.45.130;192.168.45.111;2

photos-ugc.l.googleusercontent.com.;192.168.45.130;192.168.45.111;2

ocsp.pki.goog.;192.168.45.130;192.168.45.111;2

pki-goog.l.google.com.;192.168.45.130;192.168.45.111;2

rr7.sn-ci5gup-jwce.googlevideo.com.;192.168.45.130;192.168.45.111;2

rr4.sn-hgn7rnls.googlevideo.com.;192.168.45.130;192.168.45.111;2

chat.openai.com.;192.168.45.130;192.168.45.111;1

chat.openai.com.cdn.cloudflare.net.;192.168.45.130;192.168.45.111;1
